players,predicted_fantasy_points,form,dream_team_percentage
n negi,34-74,58,100
b george,21-79,86,60
a sharma,26-64,39,100
d negi,16-62,39,40
z yousuf,15-45,55,80
a singh,8-28,16,20
p kohad,16-48,11,20
r bastamiz,25-49,19,20
v rashmika,9-41,30,60
g malish,7-27,23,60
g thakur,13-37,25,60
m rahman,21-61,27,60
s singh,15-47,44,80
p pupala,0,4,0
d siddique,21-53,45,100
s dobhal,7-29,16,40
e handiram,6-18,12,20
m goonathilike,7-27,16,20
g maithini,16-50,21,0
a delardon,6-18,14,40
p das,0-12,12,75
h gericke,28-66,31,64