team,player_category,players,predicted_fantasy_points,form,dream_team_percentage
DIN,allrounder,B quadir,21-59,54,100
DIN,allrounder,V Yadav,34-92,86,80
GAF,batter,F Mughal,31-77,96,100
DIN,bowler,W Afridi,34-66,61,80
GAF,batter,F Mahrose,20-44,16,60
GAF,bowler,Q Muhammad,45-89,72,100
GAF,wicketkeeper,M Ajmal,24-48,40,60
DIN,wicketkeeper,A Qadir,5-17,20,40
DIN,batter,I Ameer,12-44,45,40
DIN,batter,A Dileep,18-46,12,15
DIN,bowler,H Krishnan,6-14,16,20
GAF,bowler,N Khosla,11-27,25,60
GAF,batter,Waqas Khan,22-48,24,60
GAF,batter,A Arsad,1-13,9,40
DIN,wicketkeeper,U Ullah,11-39,52,100
DIN,batter,M Silaiman,4-20,23,40
GAF,bowler,J Girima,2-10,9,20
GAF,bowler,W Alvi,0,0,0
GAF,atter,H Saikh,0,0,0
GAF,bowler,S Paul,0,2,0
DIN,bowler,L Thomas,0,5,20
DIN,batter,D Athwal,3-35,26,60